N,P,K,temperature,humidity,ph,rainfall,label
106,85,53,27.1994597,78.8086068,5.91505509,99.72430835,banana
86,95,49,28.05484146,78.04602887,6.458714879,108.3957179,banana
83,79,55,25.14748006,83.34688193,5.565028635,98.66679427,banana
85,95,47,25.94019018,78.3422098,6.211833161,119.84797,banana
109,79,45,27.66752761,79.68542782,6.490074429,108.66464,banana
100,76,45,25.56703012,75.94067692,5.590236025,102.7867717,banana
117,86,48,28.6956201,82.54195839,6.225225239,116.1616839,banana
114,94,53,26.33544853,76.8532006,6.190757459,118.6858263,banana
110,78,50,25.93730186,78.89864446,5.915568968,98.21747528,banana
94,70,48,25.13686519,84.88394407,6.195152442,91.46442491,banana
80,71,47,27.50527651,80.79783998,6.156373499,105.0776992,banana
114,79,51,26.21009246,82.34429458,6.313197204,112.0700033,banana
88,78,45,29.10403455,79.19588629,6.324270089,92.07835761,banana
112,73,48,29.2440638,77.32017166,5.707488987,90.66727868,banana
117,76,47,25.56202173,77.38229006,6.119216009,93.10247183,banana
111,87,48,26.3985515,81.36028902,5.571401169,98.16752001,banana
89,83,47,28.09577643,77.79586769,5.63127166,109.5408614,banana
93,91,47,27.84767901,83.31110751,6.101241579,117.2878912,banana
92,81,52,27.39341554,81.4654833,6.438137279,94.31102057,banana
105,74,45,25.14517635,81.38204104,6.098369122,119.218154,banana
102,71,48,28.65456263,79.28693687,5.695267822,102.4633775,banana
94,91,51,29.16093424,76.67484233,5.618094446,109.575944,banana
116,71,47,27.57278064,82.0638878,6.435785799,91.34276507,banana
117,79,49,25.40909896,82.36208097,6.176644228,112.9794804,banana
119,72,55,25.99069521,83.33983116,6.220643671,112.0777152,banana
99,73,53,26.29039046,81.06003778,5.871702211,118.6730366,banana
91,84,52,29.14827211,78.71024836,6.390741836,117.536781,banana
80,90,47,26.59743595,79.35898915,6.21084479,107.3944717,banana
101,70,48,25.36059237,75.03193255,6.012696655,116.5531455,banana
108,89,53,29.12036889,80.18080728,5.908770059,112.3982055,banana
100,80,52,27.53911354,77.25629897,6.049801781,110.3262123,banana
109,91,53,29.66727337,83.51014178,6.010095853,110.2511102,banana
82,78,46,25.05802193,84.97323747,5.738678895,110.4408803,banana
106,70,55,25.86824781,78.52399914,5.74055541,116.3019555,banana
90,86,52,25.85036988,81.95580471,5.793260262,119.0856171,banana
83,95,50,26.51682337,77.79913575,5.50947065,108.8547508,banana
119,90,48,28.66725136,79.59242542,5.986442306,118.2583441,banana
107,72,45,28.14938935,81.54448882,5.790768046,91.40508414,banana
116,81,55,26.42313317,83.6995044,5.915546415,95.12322062,banana
101,75,50,26.59386409,81.40740301,6.242528278,109.9825551,banana
93,81,50,27.71822477,76.57853189,6.036079266,102.2099836,banana
95,75,45,28.98333432,82.95958244,5.829898502,109.022564,banana
107,71,55,29.42017919,83.96754496,6.088064451,117.229079,banana
83,94,47,27.39872329,81.10523402,6.469370954,112.1355384,banana
102,73,54,26.4020227,84.41007614,5.720726906,111.0162259,banana
86,79,45,27.81251452,82.69285419,5.80766417,99.20961514,banana
117,86,53,25.19640218,83.55829874,5.703381728,115.8586081,banana
111,79,53,28.31193338,75.77363772,6.165001278,119.695765,banana
95,74,50,25.90113128,80.47152737,6.002481605,110.10323,banana
91,75,55,27.48612983,76.11239849,6.212369363,109.2768851,banana
93,83,46,29.38254012,83.50423735,5.765308943,109.2486647,banana
92,85,51,29.22118628,81.08183635,5.740764682,108.8616474,banana
104,80,54,27.09062164,81.33506906,5.879119455,110.1331182,banana
103,72,51,26.12643374,81.81365007,6.099478745,104.4812858,banana
92,75,45,29.01207743,77.95192527,5.674403359,90.43495443,banana
93,85,49,27.96799119,79.28625709,5.694243847,119.4765557,banana
120,87,52,28.0764455,76.05522115,5.905494703,118.9923573,banana
108,72,46,25.16278237,84.97849241,6.110844721,90.94554618,banana
105,88,54,25.78749808,84.51194224,6.020445317,114.2005455,banana
98,79,50,25.34119774,84.47321314,6.435917308,91.06493353,banana
111,88,55,29.44795403,78.34971537,5.505393833,96.45042585,banana
97,74,45,26.47522633,78.51833782,5.677719902,113.1161095,banana
95,82,48,27.39489579,83.31172003,5.719014989,92.78133617,banana
89,91,55,25.08347445,80.261731,6.275572298,94.32961456,banana
89,85,55,26.6719835,76.48541655,6.275384607,91.73358569,banana
118,88,51,25.44926208,79.49221962,6.201911642,100.6619171,banana
101,92,45,28.22776705,80.6430384,5.758054257,98.00403016,banana
99,92,47,28.1279509,77.48247073,6.323933647,103.5045395,banana
82,77,46,28.9470467,82.1888998,5.901100841,95.83016448,banana
90,86,55,27.96236771,84.15403614,5.644486582,97.55986676,banana
95,88,52,28.00316034,78.90085998,6.235461772,94.68180316,banana
104,73,46,29.1400919,80.1190228,6.28236237,90.45142867,banana
102,73,52,27.9122104,83.36307683,6.356090905,90.24211529,banana
100,74,52,25.43480512,81.53977797,5.837258235,96.47800391,banana
94,89,48,28.55980972,84.51602322,5.653437902,111.0843029,banana
99,70,46,26.59580783,82.99556744,5.727469947,100.5123341,banana
112,87,48,27.19711623,77.3970629,6.200111068,99.46950465,banana
117,82,45,25.29391516,79.29122198,5.614471478,105.4220251,banana
96,86,51,29.90888522,76.98740841,6.257369799,91.99964712,banana
113,85,45,27.94972463,76.63713353,6.037430836,109.0921631,banana
105,93,46,25.01018457,78.76260938,5.760457558,108.3690513,banana
85,89,51,29.21144871,84.70189923,6.158164422,108.5501443,banana
108,94,47,27.35911627,84.54625006,6.387431383,90.81250457,banana
92,81,52,28.0106804,76.52808057,5.891413895,103.7040783,banana
110,71,54,28.67208915,82.20793613,5.725418961,94.37987496,banana
82,75,55,27.34585147,78.4873835,6.281069505,92.15524332,banana
117,81,53,29.50704598,78.20585613,5.507641778,98.12565829,banana
70,40,45,22.676,90.05447735,5.54,75.32,barley
70,40,45,14.6,78.6122313,5.5,169.82,barley
70,40,45,23.562,89.65477771,5.4,73.47,barley
70,40,45,18.92,67.84960363,5.46,70.598,barley
70,40,45,12.5,73.29266307,5.38,140.52,barley
70,40,45,22.676,90.06460508,5.56,75.32,barley
70,40,45,10.38,80.73737602,5.4,240.1,barley
70,40,45,22.28,82.09678248,5.34,152.54,barley
70,40,45,23.562,89.70084966,5.56,73.47,barley
70,40,45,10.38,80.70974773,5.36,240.1,barley
70,40,45,10.38,80.73737602,5.38,240.1,barley
70,40,45,23.562,89.65477771,5.42,73.47,barley
70,40,45,21.704,88.30880018,5.52,41.3,barley
70,40,45,22.676,89.87614841,5.36,75.32,barley
70,40,45,23.106,88.65504457,5.64,87.2,barley
70,40,45,22.676,90.05777295,5.5,75.32,barley
70,40,45,23.106,88.57883343,5.36,87.2,barley
70,40,45,22.676,90.05695517,5.64,75.32,barley
70,40,45,23.106,88.68051659,5.58,87.2,barley
70,40,45,22.766,89.46363982,5.62,19.38,barley
70,40,45,22.766,89.46363982,5.58,19.38,barley
70,40,45,21.704,88.21811248,5.38,41.3,barley
70,40,45,22.676,89.87614841,5.32,75.32,barley
70,40,45,14.6,79.32597643,5.58,169.82,barley
70,40,45,21.704,88.30880018,5.62,41.3,barley
70,40,45,23.106,88.65003663,5.62,87.2,barley
70,40,45,23.106,88.71438602,5.44,87.2,barley
70,40,45,28.64818182,83.25757931,5.32,1111.68,barley
70,40,45,23.106,88.68051659,5.56,87.2,barley
70,40,45,23.106,88.71438602,5.42,87.2,barley
70,40,45,22.676,90.05777295,5.48,75.32,barley
70,40,45,20.312,68.58282719,5.5,66.52,barley
70,40,45,22.676,90.05075977,5.66,75.32,barley
70,40,45,22.676,90.04683842,5.68,75.32,barley
70,40,45,22.676,90.01170101,5.4,75.32,barley
70,40,45,14.6,79.04950474,5.56,169.82,barley
70,40,45,23.106,88.67236968,5.68,87.2,barley
70,40,45,18.92,67.83308168,5.34,70.598,barley
70,40,45,22.676,90.01170101,5.44,75.32,barley
70,40,45,23.562,89.70084966,5.54,73.47,barley
70,40,45,14.6,78.5932864,5.32,169.82,barley
70,40,45,22.676,90.01170101,5.42,75.32,barley
70,40,45,23.106,88.65003663,5.6,87.2,barley
70,40,45,14.6,79.54944674,5.68,169.82,barley
70,40,45,22.766,89.46363982,5.5,19.38,barley
70,40,45,28.64818182,83.29065165,5.36,1111.68,barley
70,40,45,23.106,88.67911116,5.54,87.2,barley
70,40,45,23.106,88.68240676,5.5,87.2,barley
70,40,45,22.766,89.4282372,5.42,19.38,barley
70,40,45,22.766,89.46363982,5.68,19.38,barley
70,40,45,23.562,89.5356819,5.36,73.47,barley
70,40,45,23.562,89.70084966,5.52,73.47,barley
70,40,45,22.676,90.06460508,5.6,75.32,barley
70,40,45,21.704,88.30880018,5.66,41.3,barley
70,40,45,23.562,89.70084966,5.6,73.47,barley
70,40,45,22.676,90.05777295,5.52,75.32,barley
70,40,45,23.562,89.70084966,5.58,73.47,barley
70,40,45,23.106,88.67629102,5.66,87.2,barley
70,40,45,23.562,89.7020327,5.62,73.47,barley
70,40,45,10.38,81.45943804,5.6,240.1,barley
70,40,45,23.562,89.70084966,5.5,73.47,barley
70,40,45,22.766,89.36827964,5.38,19.38,barley
70,40,45,22.676,90.06460508,5.62,75.32,barley
70,40,45,22.766,89.46363982,5.52,19.38,barley
70,40,45,23.562,89.69415914,5.68,73.47,barley
70,40,45,23.106,88.71438602,5.46,87.2,barley
70,40,45,22.766,89.46363982,5.66,19.38,barley
70,40,45,22.38,83.03318206,5.64,94.02,barley
70,40,45,22.766,89.32272675,5.34,19.38,barley
70,40,45,23.106,88.56706626,5.32,87.2,barley
70,40,45,22.28,82.15370912,5.44,152.54,barley
70,40,45,22.766,89.32272675,5.32,19.38,barley
70,40,45,12.5,73.27614112,5.36,140.52,barley
70,40,45,23.106,88.63879099,5.38,87.2,barley
70,40,45,22.766,89.46363982,5.48,19.38,barley
70,40,45,23.106,88.57883343,5.34,87.2,barley
70,40,45,10.38,81.17712832,5.56,240.1,barley
70,40,45,23.562,89.70084966,5.48,73.47,barley
70,40,45,20.312,68.58282719,5.4,66.52,barley
70,40,45,22.28,82.07505597,5.38,152.54,barley
70,40,45,22.766,89.46363982,5.6,19.38,barley
70,40,45,22.676,89.87614841,5.34,75.32,barley
70,40,45,22.676,90.06460508,5.58,75.32,barley
70,40,45,10.38,81.67857168,5.64,240.1,barley
70,40,45,27.86666667,83.41313717,5.44,516.68,barley
70,40,45,22.766,89.4282372,5.46,19.38,barley
70,40,45,23.562,89.5356819,5.34,73.47,barley
70,40,45,22.766,89.46363982,5.64,19.38,barley
70,40,45,14.6,78.6122313,5.48,169.82,barley
70,40,45,14.6,78.6122313,5.38,169.82,barley
70,40,45,22.38,83.00711291,5.48,94.02,barley
70,40,45,22.28,82.15571152,5.48,152.54,barley
70,40,45,10.38,80.73943246,5.46,240.1,barley
70,40,45,25.81818182,84.4775545,5.56,1501.98,barley
70,40,45,21.704,88.30880018,5.5,41.3,barley
70,40,45,14.6,79.54944674,5.66,169.82,barley
70,40,45,22.28,82.15370912,5.46,152.54,barley
70,40,45,28.64818182,83.69891343,5.66,1111.68,barley
70,40,45,10.38,80.73943246,5.5,240.1,barley
70,40,45,18.92,67.84960363,5.44,70.598,barley
70,40,45,22.38,83.0051105,5.44,94.02,barley
70,40,45,20.312,68.58282719,5.38,66.52,barley
70,40,45,23.562,89.5356819,5.32,73.47,barley
70,40,45,22.766,89.46363982,5.56,19.38,barley
70,40,45,21.704,88.30880018,5.58,41.3,barley
70,40,45,25.81818182,84.48622196,5.68,1501.98,barley
70,40,45,28.64818182,83.63124269,5.62,1111.68,barley
70,40,45,28.64818182,83.63124269,5.58,1111.68,barley
70,40,45,18.92,67.85495208,5.6,70.598,barley
70,40,45,14.7,80.57930812,5.42,293.36,barley
70,40,45,22.676,90.01170101,5.46,75.32,barley
70,40,45,22.766,89.46363982,5.54,19.38,barley
70,40,45,20.312,68.58282719,5.62,66.52,barley
70,40,45,23.106,88.71438602,5.4,87.2,barley
70,40,45,23.562,89.69646792,5.64,73.47,barley
70,40,45,10.38,80.70974773,5.34,240.1,barley
70,40,45,21.704,88.30880018,5.64,41.3,barley
70,40,45,22.38,82.95124198,5.34,94.02,barley
70,40,45,21.704,88.27938727,5.4,41.3,barley
70,40,45,23.562,89.59563946,5.38,73.47,barley
70,40,45,22.28,82.20068652,5.56,152.54,barley
70,40,45,28.64818182,83.37681445,5.46,1111.68,barley
70,40,45,14.6,79.04950474,5.54,169.82,barley
70,40,45,12.5,73.29266307,5.42,140.52,barley
70,40,45,23.562,89.65477771,5.44,73.47,barley
70,40,45,10.38,81.45943804,5.58,240.1,barley
70,40,45,18.92,67.98640238,5.68,70.598,barley
70,40,45,22.676,89.93610597,5.38,75.32,barley
70,40,45,23.106,88.68240676,5.48,87.2,barley
70,40,45,25.81818182,84.17886669,5.36,1501.98,barley
70,40,45,23.562,89.69646792,5.66,73.47,barley
70,40,45,14.7,80.55167983,5.36,293.36,barley
70,40,45,10.38,81.67857168,5.68,240.1,barley
70,40,45,10.38,81.17712832,5.54,240.1,barley
70,40,45,22.28,82.150651,5.42,152.54,barley
70,40,45,10.38,81.67975806,5.62,240.1,barley
70,40,45,10.38,80.73943246,5.48,240.1,barley
70,40,45,14.6,78.6122313,5.52,169.82,barley
70,40,45,22.28,82.17020656,5.62,152.54,barley
70,40,45,21.704,88.30880018,5.48,41.3,barley
70,40,45,23.562,89.65477771,5.46,73.47,barley
70,40,45,22.766,89.32272675,5.36,19.38,barley
70,40,45,14.6,79.54629646,5.62,169.82,barley
70,40,45,22.38,83.00406903,5.5,94.02,barley
70,40,45,22.38,82.99690275,5.6,94.02,barley
70,40,45,14.6,79.32597643,5.6,169.82,barley
70,40,45,20.312,68.5658676,5.36,66.52,barley
70,40,45,14.6,79.54944674,5.64,169.82,barley
70,40,45,10.38,80.73943246,5.44,240.1,barley
70,40,45,14.7,81.01898928,5.54,293.36,barley
70,40,45,21.704,88.27938727,5.46,41.3,barley
70,40,45,22.766,89.4282372,5.4,19.38,barley
70,40,45,23.106,88.68240676,5.52,87.2,barley
70,40,45,12.5,73.29266307,5.4,140.52,barley
70,40,45,14.6,78.5932864,5.36,169.82,barley
70,40,45,20.312,68.5658676,5.32,66.52,barley
70,40,45,12.5,73.29266307,5.46,140.52,barley
70,40,45,14.7,80.57930812,5.52,293.36,barley
70,40,45,14.6,78.6122313,5.42,169.82,barley
70,40,45,28.64818182,83.66603896,5.5,1111.68,barley
70,40,45,22.38,83.00077343,5.54,94.02,barley
70,40,45,22.28,82.08871647,5.32,152.54,barley
70,40,45,14.7,81.301299,5.58,293.36,barley
70,40,45,21.704,88.1725596,5.32,41.3,barley
70,40,45,21.704,88.1725596,5.36,41.3,barley
70,40,45,18.92,67.84960363,5.52,70.598,barley
70,40,45,18.92,67.83308168,5.36,70.598,barley
70,40,45,28.64818182,83.31098355,5.38,1111.68,barley
70,40,45,22.28,82.17407724,5.54,152.54,barley
70,40,45,22.38,83.04570622,5.66,94.02,barley
70,40,45,18.92,67.84960363,5.58,70.598,barley
70,40,45,21.704,88.30880018,5.6,41.3,barley
70,40,45,18.92,67.83640077,5.64,70.598,barley
70,40,45,14.7,80.57930812,5.4,293.36,barley
70,40,45,22.38,83.0273827,5.58,94.02,barley
70,40,45,18.58,73.17692819,5.34,122.42,barley
70,40,45,22.38,83.04512101,5.68,94.02,barley
70,40,45,18.58,73.19345014,5.44,122.42,barley
70,40,45,21.704,88.1725596,5.34,41.3,barley
70,40,45,14.7,80.55167983,5.34,293.36,barley
70,40,45,21.704,88.30880018,5.56,41.3,barley
70,40,45,18.92,67.84960363,5.54,70.598,barley
70,40,45,10.38,80.70974773,5.32,240.1,barley
70,40,45,12.5,73.29266307,5.52,140.52,barley
70,40,45,14.7,80.57930812,5.5,293.36,barley
70,40,45,21.704,88.27938727,5.44,41.3,barley
70,40,45,21.704,88.30880018,5.54,41.3,barley
70,40,45,20.312,68.5735965,5.64,66.52,barley
70,40,45,22.38,83.0051105,5.42,94.02,barley
70,40,45,20.312,68.5658676,5.34,66.52,barley
70,40,45,22.766,89.4282372,5.44,19.38,barley
70,40,45,21.704,88.27938727,5.42,41.3,barley
60,10,20,26.01818182,93.52453395,6.44,1350.025,bitter_gourd
60,10,20,27.90909091,93.42983983,6.32,2817.86,bitter_gourd
60,10,20,26.01818182,93.16189612,6.68,1350.025,bitter_gourd
60,10,20,27.90909091,93.01107957,6.58,2817.86,bitter_gourd
60,10,20,27.65454545,93.22157986,6.46,884.5,bitter_gourd
60,10,20,26.01818182,93.16189612,6.66,1350.025,bitter_gourd
60,10,20,27.65454545,93.21619969,6.42,884.5,bitter_gourd
60,10,20,27.65454545,92.83212947,6.62,884.5,bitter_gourd
60,10,20,27.90909091,93.17083811,6.42,2817.86,bitter_gourd
56,79,15,29.48439992,63.19915325,7.454532137,71.89090748,blackgram
25,62,21,26.73433965,68.13999721,7.040056094,67.15096376,blackgram
42,61,22,26.27274407,62.28814857,7.418650668,70.23207557,blackgram
42,73,25,34.03679184,67.21113844,6.501869314,73.23573601,blackgram
44,58,18,28.03644051,65.06601664,6.814410928,72.49507741,blackgram
50,55,16,28.81460716,65.33538112,7.581442888,62.26242533,blackgram
35,72,21,34.03619494,64.28791388,7.741418772,66.85510868,blackgram
30,64,20,33.8642935,61.57072498,6.573531614,68.02199825,blackgram
27,64,21,32.84213012,68.68401492,7.543804223,73.67166182,blackgram
50,74,17,27.10053268,63.36085585,6.5408208,73.84949872,blackgram
39,73,24,25.65842532,61.18235808,7.22405917,69.28607828,blackgram
57,67,25,32.34744009,66.61452812,7.551364319,64.55882254,blackgram
52,63,19,29.58949031,68.32176769,6.928898659,67.53021213,blackgram
55,66,22,30.91219459,68.79427388,7.747775263,66.63830637,blackgram
51,56,18,28.12787838,64.2097765,6.706505915,70.86340755,blackgram
36,66,15,30.08545364,69.34811988,6.668238556,67.1367443,blackgram
59,55,19,31.74379487,62.51007687,7.332375138,68.97097538,blackgram
50,58,23,27.81326852,62.50460464,7.596802025,69.75555541,blackgram
30,65,25,32.88733849,64.59457409,7.70650895,71.50569456,blackgram
20,62,18,29.36358721,64.98742947,7.366542647,61.91208707,blackgram
58,71,15,27.82592799,67.5861883,6.919243702,74.01229707,blackgram
25,71,24,28.49538735,60.44848407,7.187721818,74.91559514,blackgram
52,71,16,27.74274761,68.53997144,7.075886472,71.78615328,blackgram
40,63,18,30.41588462,67.66323804,6.74441168,63.02473185,blackgram
20,60,25,27.3254209,69.09047809,6.726469088,61.19250859,blackgram
48,61,21,30.28496619,61.69295127,6.628264883,65.62859526,blackgram
49,68,22,28.56840626,61.53278622,7.127064207,63.49726331,blackgram
48,62,15,25.36586097,66.6379724,7.538631462,65.81655892,blackgram
32,66,17,34.9466155,65.26774011,7.162357641,70.1415139,blackgram
21,63,22,25.09737391,67.72837887,6.859409487,74.61649888,blackgram
20,72,19,32.47648301,64.34848735,7.397190844,65.820457,blackgram
25,65,21,33.86351172,68.59232289,6.880245789,69.24464096,blackgram
41,78,21,25.19857725,60.37332688,6.581313137,70.88787207,blackgram
53,67,17,31.77681682,69.01852894,7.296972161,61.46892873,blackgram
39,60,21,34.89814946,63.59948557,6.97297656,64.72797143,blackgram
25,76,17,31.74105409,68.63525428,7.241148507,62.3061735,blackgram
21,78,19,27.16159076,66.76017239,6.92009048,69.85112265,blackgram
57,60,17,26.23773129,67.88521396,7.504608385,73.58663968,blackgram
56,75,15,30.20157245,60.06534859,7.152272256,66.37171179,blackgram
49,72,15,31.55846339,67.83563765,7.137004749,74.86960831,blackgram
24,80,19,29.67892453,69.0854554,6.808041722,65.66436565,blackgram
49,76,18,27.05365239,67.7017527,7.393631868,60.4693835,blackgram
28,68,19,34.63880966,61.38597868,7.69950698,72.43169115,blackgram
55,78,21,33.39438752,62.93692886,6.602888249,63.57445989,blackgram
50,64,25,28.84079155,63.37230676,6.734447425,70.25496749,blackgram
34,80,19,31.49338309,63.0563645,6.521217963,71.48327008,blackgram
20,68,23,25.54960633,63.95425534,7.707332484,63.1830529,blackgram
55,67,16,34.37329112,69.69366426,6.596719015,70.27184748,blackgram
23,70,15,34.6008247,63.11296779,7.403623355,60.41790253,blackgram
53,74,15,29.43463808,64.94329356,7.517097,72.17818157,blackgram
26,67,16,29.10713092,67.90577375,7.17620823,67.83345933,blackgram
33,80,22,28.57006111,65.71765781,6.593961761,70.0866434,blackgram
